,ID,site,tank,pump,Meter_error_rate,Report_date,Report_date_DN
173,1327,33,0,10,0.0,13/10/2021 00:00,1634043600.0
174,7060,33,5,20,0.3,13/10/2021 00:00,1634043600.0
175,4761,33,5,19,0.0,13/10/2021 00:00,1634043600.0
176,6208,34,0,8,0.0,13/11/2021 00:00,1636722000.0
177,9468,34,0,0,-0.4,13/11/2021 00:00,1636722000.0
178,6259,34,6,8,-0.33,13/11/2021 00:00,1636722000.0
179,6972,34,6,7,-0.33,13/11/2021 00:00,1636722000.0
180,6553,34,6,1,-0.6,13/11/2021 00:00,1636722000.0
181,7106,34,6,2,-0.4,13/11/2021 00:00,1636722000.0
182,7466,34,6,3,-0.4,13/11/2021 00:00,1636722000.0
183,6216,34,6,4,-0.4,13/11/2021 00:00,1636722000.0
184,2771,34,6,5,-0.4,13/11/2021 00:00,1636722000.0
185,4528,34,6,0,0.0,13/11/2021 00:00,1636722000.0
186,5999,34,6,11,0.0,13/11/2021 00:00,1636722000.0
187,5672,34,1,8,0.0,13/11/2021 00:00,1636722000.0
188,1028,34,1,0,0.0,13/11/2021 00:00,1636722000.0
189,2076,34,1,5,0.0,13/11/2021 00:00,1636722000.0
190,8891,34,1,1,0.0,13/11/2021 00:00,1636722000.0
191,1954,34,1,7,0.0,13/11/2021 00:00,1636722000.0
192,6423,34,3,3,-0.47,13/11/2021 00:00,1636722000.0
193,9031,34,3,4,-0.47,13/11/2021 00:00,1636722000.0
194,6845,34,3,10,0.0,13/11/2021 00:00,1636722000.0
195,1737,34,3,11,0.0,13/11/2021 00:00,1636722000.0
196,4289,35,6,2,0.33,09/10/2021 00:00,1633698000.0
197,2526,35,6,4,-0.33,09/10/2021 00:00,1633698000.0
198,6850,35,6,0,0.0,09/10/2021 00:00,1633698000.0
199,3137,35,6,1,0.0,09/10/2021 00:00,1633698000.0
200,6939,35,1,4,-0.33,09/10/2021 00:00,1633698000.0
201,6567,35,1,3,0.0,09/10/2021 00:00,1633698000.0
202,7898,36,3,1,0.4,12/11/2021 00:00,1636635600.0
203,9297,36,3,2,0.4,12/11/2021 00:00,1636635600.0
204,3651,36,3,5,0.0,12/11/2021 00:00,1636635600.0
205,6385,36,3,10,0.0,12/11/2021 00:00,1636635600.0
206,1918,37,0,8,0.33,03/11/2021 00:00,1635858000.0
207,9096,37,0,7,0.55,03/11/2021 00:00,1635858000.0
208,1192,37,0,5,0.0,03/11/2021 00:00,1635858000.0
209,4599,37,0,4,0.0,03/11/2021 00:00,1635858000.0
210,3259,38,3,10,-1.0,11/11/2021 00:00,1636549200.0
211,7911,38,3,4,0.0,11/11/2021 00:00,1636549200.0
212,7860,39,0,10,-0.4,29/10/2021 00:00,1635426000.0
213,2103,39,0,6,-0.4,29/10/2021 00:00,1635426000.0
214,5111,39,0,3,0.0,29/10/2021 00:00,1635426000.0
215,2699,39,0,4,0.0,29/10/2021 00:00,1635426000.0
216,5617,39,6,10,-0.33,29/10/2021 00:00,1635426000.0
217,9953,39,6,5,0.0,29/10/2021 00:00,1635426000.0
218,9854,39,1,1,0.33,29/10/2021 00:00,1635426000.0
219,4555,39,1,2,-0.4,29/10/2021 00:00,1635426000.0
220,6927,39,1,6,0.0,29/10/2021 00:00,1635426000.0
221,5066,39,1,0,0.0,29/10/2021 00:00,1635426000.0
